29/11/2016,New Orleans Pelicans,Los Angeles Lakers
29/11/2016,San Antonio Spurs,Orlando Magic
29/11/2016,Utah Jazz,Houston Rockets
30/11/2016,Philadelphia 76ers,Sacramento Kings
30/11/2016,Boston Celtics,Detroit Pistons
30/11/2016,Toronto Raptors,Memphis Grizzlies
30/11/2016,Chicago Bulls,Los Angeles Lakers
30/11/2016,Minnesota Timberwolves,New York Knicks
30/11/2016,Oklahoma City Thunder,Washington Wizards
30/11/2016,Dallas Mavericks,San Antonio Spurs
30/11/2016,Denver Nuggets,Miami Heat
30/11/2016,Phoenix Suns,Atlanta Hawks
30/11/2016,Portland Trail Blazers,Indiana Pacers
01/12/2016,Charlotte Hornets,Dallas Mavericks
01/12/2016,Brooklyn Nets,Milwaukee Bucks
01/12/2016,Cleveland Cavaliers,Los Angeles Clippers
01/12/2016,Memphis Grizzlies,Orlando Magic
01/12/2016,Utah Jazz,Miami Heat
01/12/2016,Golden State Warriors,Houston Rockets
02/12/2016,Philadelphia 76ers,Orlando Magic
02/12/2016,Boston Celtics,Sacramento Kings
02/12/2016,New York Knicks,Minnesota Timberwolves
02/12/2016,Toronto Raptors,Los Angeles Lakers
02/12/2016,Atlanta Hawks,Detroit Pistons
02/12/2016,Chicago Bulls,Cleveland Cavaliers
02/12/2016,New Orleans Pelicans,Los Angeles Clippers
02/12/2016,San Antonio Spurs,Washington Wizards
02/12/2016,Denver Nuggets,Houston Rockets
03/12/2016,Milwaukee Bucks,Brooklyn Nets
03/12/2016,Charlotte Hornets,Minnesota Timberwolves
03/12/2016,Philadelphia 76ers,Boston Celtics
03/12/2016,Toronto Raptors,Atlanta Hawks
03/12/2016,Memphis Grizzlies,Los Angeles Lakers
03/12/2016,Dallas Mavericks,Chicago Bulls
03/12/2016,Utah Jazz,Denver Nuggets
03/12/2016,Portland Trail Blazers,Miami Heat
03/12/2016,Golden State Warriors,Phoenix Suns
04/12/2016,Detroit Pistons,Orlando Magic
04/12/2016,Oklahoma City Thunder,New Orleans Pelicans
04/12/2016,New York Knicks,Sacramento Kings
04/12/2016,Los Angeles Clippers,Indiana Pacers
05/12/2016,Philadelphia 76ers,Denver Nuggets
05/12/2016,Atlanta Hawks,Oklahoma City Thunder
05/12/2016,Brooklyn Nets,Washington Wizards
05/12/2016,Toronto Raptors,Cleveland Cavaliers
05/12/2016,Chicago Bulls,Portland Trail Blazers
05/12/2016,Houston Rockets,Boston Celtics
05/12/2016,Milwaukee Bucks,San Antonio Spurs
05/12/2016,New Orleans Pelicans,Memphis Grizzlies
05/12/2016,Dallas Mavericks,Charlotte Hornets
05/12/2016,Golden State Warriors,Indiana Pacers
05/12/2016,Los Angeles Lakers,Utah Jazz
06/12/2016,Washington Wizards,Orlando Magic
06/12/2016,Detroit Pistons,Chicago Bulls
06/12/2016,Miami Heat,New York Knicks
06/12/2016,Memphis Grizzlies,Philadelphia 76ers
06/12/2016,Minnesota Timberwolves,San Antonio Spurs
06/12/2016,Utah Jazz,Phoenix Suns
07/12/2016,Charlotte Hornets,Detroit Pistons
07/12/2016,Orlando Magic,Boston Celtics
07/12/2016,Atlanta Hawks,Miami Heat
07/12/2016,Brooklyn Nets,Denver Nuggets
07/12/2016,Houston Rockets,Los Angeles Lakers
07/12/2016,Milwaukee Bucks,Portland Trail Blazers
07/12/2016,New York Knicks,Cleveland Cavaliers
07/12/2016,Dallas Mavericks,Sacramento Kings
07/12/2016,Phoenix Suns,Indiana Pacers
07/12/2016,Los Angeles Clippers,Golden State Warriors
08/12/2016,Toronto Raptors,Minnesota Timberwolves
08/12/2016,Washington Wizards,Denver Nuggets
08/12/2016,Memphis Grizzlies,Portland Trail Blazers
